"R0000100","R0214800","T8089600","T8089800","T8218700","T8219400"
861,2,175,2,77800,56
862,2,-5,-5,-5,-5
863,1,235,10,237000,59
864,1,-5,-5,-5,-5
865,1,220,11,65000,59
866,2,117,2,-3,54
867,2,-5,-5,-5,-5
868,1,260,11,70446,58
869,2,-5,-5,-5,-5
870,1,-5,-5,-5,-5
871,1,240,10,234200,54
872,1,250,11,308000,58
873,1,-5,-5,-5,-5
874,1,190,8,263000,55
875,2,-5,-5,-5,-5
876,2,155,4,350000,60
877,1,189,10,176600,56
878,2,-5,-5,-5,-5
879,2,128,4,101020,54
880,2,143,4,274000,61
881,1,180,10,-3,58
882,1,210,0,215000,56
883,2,190,4,100000,54
884,2,125,6,108000,60
885,1,275,10,12000,57
886,2,135,7,265321,58
887,2,175,3,148400,58
888,1,184,1,81000,61
889,2,-5,-5,-5,-5
890,1,235,1,300000,59
891,1,220,11,92000,58
892,2,155,3,14400,56
893,2,155,3,144000,59
894,2,-5,-5,-5,-5
895,2,-5,-5,-5,-5
896,2,130,4,112800,57
897,2,130,3,9720,55
898,2,135,4,140000,54
899,1,200,10,85000,61
900,2,130,7,150000,57
901,2,-5,-5,-5,-5
902,1,270,2,149600,56
903,1,185,10,115632,56
904,2,-5,-5,-5,-5
905,2,-5,-5,-5,-5
906,2,195,7,120000,54
907,1,250,10,75846,58
908,1,175,0,62135,57
909,2,167,3,80000,54
910,1,205,10,60000,59
911,1,172,8,50000,55
912,2,155,5,265000,61
913,1,190,2,200000,55
914,2,160,9,-3,57
915,2,173,7,82550,54
916,1,165,10,76132,59
917,1,-5,-5,-5,-5
918,2,155,4,11000,55
919,1,305,6,30000,59
920,1,160,9,136000,55
921,1,260,10,50100,54
922,1,-5,-5,-5,-5
923,2,149,5,268800,57
924,1,225,0,239100,56
925,1,205,10,87900,61
926,2,107,1,-3,59
927,1,-5,-5,-5,-5
928,2,137,4,38992,57
929,1,250,1,168000,54
930,2,-5,-5,-5,-5
931,1,261,6,20400,61
932,2,170,4,130000,60
933,1,-5,-5,-5,-5
934,1,153,8,44000,61
935,2,185,4,18660,60
936,2,143,3,138000,57
937,1,154,5,151000,56
938,1,175,7,76000,55
939,2,138,5,1925,59
940,2,-5,-5,-5,-5
941,1,210,2,45000,60
942,2,150,8,111905,57
943,2,-5,-5,-5,-5
944,1,163,8,65000,59
945,1,245,10,55200,59
946,1,-5,-5,-5,-5
947,1,190,9,702057,60
948,1,-5,-5,-5,-5
949,2,150,3,248000,55
950,2,190,2,-3,54
951,1,185,8,128000,55
952,2,135,3,43042,54
953,2,125,1,12800,60
954,2,195,8,120000,57
955,1,250,1,-3,60
956,1,200,0,36640,55
957,1,-5,-5,-5,-5
958,1,185,2,68500,59
959,1,190,3,281000,58
960,1,210,0,702057,57
961,1,270,11,155000,56
962,2,123,2,258000,57
963,2,145,6,150000,56
964,2,-5,-5,-5,-5
965,1,-5,-5,-5,-5
966,2,-5,-5,-5,-5
967,2,-5,-5,-5,-5
968,1,240,11,80000,58
969,2,201,4,41000,60
970,1,200,10,156000,58
971,2,142,9,26000,56
972,2,190,4,54000,55
973,1,-5,-5,-5,-5
974,2,160,9,154000,57
975,2,-5,-5,-5,-5
976,2,141,10,83000,61
977,1,230,4,164500,54
978,2,154,1,112600,59
979,2,127,1,8000,59
980,1,-5,-5,-5,-5
981,2,150,6,-3,58
982,2,190,8,51100,55
983,1,-5,-5,-5,-5
984,1,140,9,-3,60
985,1,170,11,30000,59
986,2,-5,-5,-5,-5
